,h,range,ip,des,diameter,last_obs_jd,id,fullname,ps_cum,ps_max,n_imp,ts_max,last_obs,v_inf
1785,25.85,2084-2122,9.1512533e-06,2024 SQ,0.023,2460581.5,bK24S00Q,(2024 SQ),-5.66,-5.87,9,0,2024-09-28,12.6245636226679
1786,28.37,2075-2119,1.3893e-07,2024 RK13,0.0072,2460569.5,bK24R13K,(2024 RK13),-8.78,-8.95,2,0,2024-09-16,5.27638379039804
1787,29.27,2094-2124,2.960306e-05,2024 RP1,0.0047,2460563.5,bK24R01P,(2024 RP1),-6.93,-7.15,42,0,2024-09-10,6.37179841543408
1788,29.23,2086-2124,3.5562199e-06,2024 TB7,0.0048,2460592.5,bK24T07B,(2024 TB7),-7.74,-7.86,14,0,2024-10-09,7.80905323515005
1789,27.82,2096-2117,7.12578059e-05,2024 RQ10,0.0092,2460567.5,bK24R10Q,(2024 RQ10),-5.69,-5.69,8,0,2024-09-14,11.0508590617018
1790,28.01,2065-2115,4.7478e-07,2024 RQ5,0.00849,2460568.5,bK24R05Q,(2024 RQ5),-7.88,-7.88,2,0,2024-09-15,5.6794527991912
1791,27.09,2085-2117,0.000189269118,2024 RW13,0.013,2460566.5,bK24R13W,(2024 RW13),-4.55,-4.97,23,0,2024-09-13,22.2856291985257
1792,28.84,2097-2116,5.50133e-06,2024 RA16,0.0058,2460565.5,bK24R16A,(2024 RA16),-7.57,-7.80,5,0,2024-09-12,1.24133280497625
1793,27.51,2086-2124,1.0424878e-06,2024 RN2,0.011,2460567.5,bK24R02N,(2024 RN2),-7.55,-7.76,7,0,2024-09-14,7.93717463552091
1794,27.41,2078-2078,3.613e-07,2024 SN1,0.011,2460591.5,bK24S01N,(2024 SN1),-7.50,-7.50,1,0,2024-10-08,16.04
1795,27.59,2075-2075,1.806e-08,2024 TG5,0.01,2460593.5,bK24T05G,(2024 TG5),-9.12,-9.12,1,0,2024-10-10,7.67
1796,28.67,2061-2101,5.8019e-08,2019 TX,0.0063,2458759.5,bK19T00X,(2019 TX),-9.04,-9.24,5,0,2019-10-03,7.04593236698323
1797,27.68,2083-2122,0.000127986823,2024 RB3,0.0099,2460560.5,bK24R03B,(2024 RB3),-5.38,-5.39,14,0,2024-09-07,13.9297862530739
