make,model,version,price,fuel,year,kms,power,doors,shift,color,is_professional
BMW,Serie 1,BMW Serie 1 116d Essential Edition 5p.,8499,Diésel,2013.0,259000,116.0,5,Manual,Blanco,True
BMW,Serie 2,BMW Serie 2 M2 2p.,48200,Gasolina,2017.0,8000,370.0,2,Automático,Azul,False
NISSAN,JUKE,NISSAN JUKE 1.5 dCi NCONNECTA 4X2 5p.,10990,Diésel,2015.0,102100,110.0,5,Manual,Gris / Plata,True
JEEP,Renegade,JEEP Renegade 1.0G 88kW Sport 4x2 5p.,16200,Gasolina,2018.0,45168,120.0,5,Manual,Rojo (176 Rojo Colorado),True
VOLKSWAGEN,Passat,VOLKSWAGEN Passat 2.0 TDI 140cv Advance 4p.,3400,Diésel,2006.0,272000,140.0,4,Manual,Gris / Plata,True
SUZUKI,Swift,SUZUKI Swift 1.4 T SPORT Mild Hybrid 5p.,21200,Gasolina,2020.0,10,129.0,5,Manual,Rojo (Rojo con techo negro),True
OPEL,Antara,OPEL Antara 2.4 16V Energy 5p.,7000,Gasolina,2009.0,119000,140.0,5,Manual,Negro,False
FIAT,Doblò Cargo,FIAT Doblò Cargo Cargo Base 1.4 TJet Natural Power CNG,4550,Gas natural (CNG),2013.0,114000,120.0,3,Manual,Blanco,False
MERCEDES-BENZ,CLA,MERCEDES-BENZ CLA CLA 200 D DCT 4p.,44600,Diésel,2021.0,0,150.0,4,Manual,Azul (Azul Demin),True
BMW,Serie 5,BMW Serie 5 520d Efficient Dynamics 4p.,37200,Diésel,2019.0,35760,190.0,4,Automático,"A90 Sophistograu, efecto de brillo (metalizado)",True
RENAULT,Mégane,RENAULT Megane Emotion 2011 dCi 110 eco2 E5 5p.,5500,Diésel,2012.0,300000,110.0,5,Manual,Blanco,True
BMW,Serie 1,BMW Serie 1 120d 3p.,7480,Diésel,2007.0,90000,177.0,3,Manual,Beige,True
CITROEN,C4,CITROEN C4 C4 BlueHDi 73KW 100CV Tonic 5p.,12900,Diésel,2018.0,52700,99.0,5,Manual,Blanco,True
JEEP,Grand Cherokee,JEEP Grand Cherokee 3.0 V6 CRD Laredo 5p.,8999,Diésel,2005.0,199000,218.0,5,Automático,Azul,True
SEAT,Arona,SEAT Arona 1.6 TDI 85kW 115CV FR Editio Eco 5p.,19900,Diésel,2019.0,17788,115.0,5,Manual,Blanco (negro),True
SEAT,Ibiza,SEAT Ibiza 1.4 TDI 80cv Reference 3p.,4500,Diésel,2007.0,86000,80.0,3,Manual,Rojo,True
LAND-ROVER,Discovery Sport,LAND-ROVER Discovery Sport 2.0D I4L.Flw 150 PS AWD RDynamic S 5p.,60190,Diésel,2019.0,0,150.0,5,Automático,Blanco,True
MERCEDES-BENZ,GLC Coupé,MERCEDES-BENZ GLC Coupe MercedesAMG GLC 43 4MATIC 5p.,89250,Gasolina,2021.0,1,390.0,5,Automático,Azul (brillante),True
JEEP,Renegade,JEEP Renegade 1.0G 88kW Longitude 4x2 5p.,20300,Gasolina,2020.0,1,120.0,5,Manual,Negro,True
CHEVROLET,Cruze,CHEVROLET Cruze 1.6 LT 5p.,8500,Gasolina,2013.0,120000,124.0,5,Manual,Gris / Plata,False
SSANGYONG,Rodius,SSANGYONG Rodius D22T 178cv Premium 5p.,16490,Diésel,2017.0,79900,178.0,5,Manual,Negro,True
AUDI,A6,AUDI A6 1.9 TDI Multitronic Avant 5p.,2000,Diésel,2002.0,325000,130.0,5,Manual,Negro,False
